"DOY_int";"";"";"";"i";"j";"k"
"123.875";"123";"94.9999744000907";"78.0000000000011";"GUE_97_14.csv";"1997";"FaSy1"
"124.208333333333";"124";"120.999974400091";"49.1969045571797";"GUE_97_14.csv";"1997";"FaSy1"
"233.239583333333";"233";"5484.99997440009";"48.9896875546477";"GUE_97_14.csv";"1997";"FaSy1"
"235.260416666667";"235";"5583.99996800011";"48.5950425917321";"GUE_97_14.csv";"1997";"FaSy1"
"240.302083333333";"240";"5828.99997440009";"40.6153728000295";"GUE_97_14.csv";"1997";"FaSy1"
"240.572916666667";"240";"5839.9999712001";"37.1612903225902";"GUE_97_14.csv";"1997";"FaSy1"
"240.895833333333";"240";"5851.9999712001";"36.1818187636343";"GUE_97_14.csv";"1997";"FaSy1"
"246.395833333333";"246";"6050.99997440009";"36";"GUE_97_14.csv";"1997";"FaSy1"
"246.645833333333";"246";"6059.99997440009";"33.9033445829025";"GUE_97_14.csv";"1997";"FaSy1"
"249.447916666667";"249";"6154.9999712001";"33.6842105263158";"GUE_97_14.csv";"1997";"FaSy1"
"250.041666666667";"250";"6174.9999712001";"32";"GUE_97_14.csv";"1997";"FaSy1"
"250.072916666667";"250";"6175.9999712001";"32";"GUE_97_14.csv";"1997";"FaSy1"
"250.104166666667";"250";"6176.9999712001";"32";"GUE_97_14.csv";"1997";"FaSy1"
"250.135416666667";"250";"6177.9999712001";"32";"GUE_97_14.csv";"1997";"FaSy1"
"250.166666666667";"250";"6178.9999712001";"25.8461656615066";"GUE_97_14.csv";"1997";"FaSy1"
"250.4375";"250";"6185.99997440009";"23.84";"GUE_97_14.csv";"1997";"FaSy1"
"256.6875";"256";"6334.99997440009";"12.6479468371517";"GUE_97_14.csv";"1997";"FaSy1"
"261.510416666667";"261";"6395.9999680001";"10.8866011051484";"GUE_97_14.csv";"1997";"FaSy1"
"263.53125";"263";"6417.99997440009";"7.38459175388992";"GUE_97_14.csv";"1997";"FaSy1"
"263.666666666667";"263";"6418.9999712001";"2.32526057854482";"GUE_97_14.csv";"1997";"FaSy1"
"266.677083333333";"266";"6425.99997440009";"1.04347492174504";"GUE_97_14.csv";"1997";"FaSy1"
"267.635416666667";"267";"6426.9999712001";"1.00261083237625";"GUE_97_14.csv";"1997";"FaSy1"
"291.572916666667";"291";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"292.645833333333";"292";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"293.645833333333";"293";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"300.552083333333";"300";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"302.645833333333";"302";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"303.666666666667";"303";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"303.979166666667";"303";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"304";"304";"6450.9999680001";"0";"GUE_97_14.csv";"1997";"FaSy1"
"91";"91";"63.9999744000907";"0";"GUE_97_14.csv";"1997";"FaSy2"
"116.604166666667";"116";"63.9999744000907";"0";"GUE_97_14.csv";"1997";"FaSy2"
"116.604166666667";"116";"64.9999680001107";"96.0006143980399";"GUE_97_14.csv";"1997";"FaSy2"
"116.614583333333";"116";"65.9999744000907";"89.6";"GUE_97_14.csv";"1997";"FaSy2"
"116.927083333333";"116";"93.9999744000907";"81.2307692307664";"GUE_97_14.csv";"1997";"FaSy2"
